City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
75,75,Yellowknife,CA,62.456,-114.3525,36.12,100,20,2.3,mist
76,76,Biograd Na Moru,HR,43.9433,15.4519,50.7,68,100,3.8,overcast clouds
77,77,Kedgwick,CA,47.6446,-67.3434,50.54,89,99,10.92,overcast clouds
78,78,Tasiilaq,GL,65.6145,-37.6368,30.47,93,100,6.22,overcast clouds
79,79,Arraial Do Cabo,BR,-22.9661,-42.0278,71.73,90,81,14.74,broken clouds
80,80,Kapoeta,SS,4.7717,33.5903,78.21,51,100,1.88,overcast clouds
81,81,San Patricio,US,28.017,-97.5169,79.84,61,100,0.89,overcast clouds
82,82,Cape Town,ZA,-33.9258,18.4232,61.38,82,0,5.99,clear sky
83,83,Rio Gallegos,AR,-51.6226,-69.2181,39.25,60,0,9.22,clear sky
84,84,Sitka,US,57.0531,-135.33,57.09,88,75,0.0,broken clouds
85,85,Port Alfred,ZA,-33.5906,26.891,57.18,89,100,1.01,overcast clouds
86,86,East London,ZA,-33.0153,27.9116,58.14,88,0,3.44,clear sky
87,87,Sioux Lookout,CA,50.1001,-91.917,42.87,56,100,11.5,overcast clouds
88,88,Sola,VU,-13.8833,167.55,81.19,74,72,12.17,broken clouds
89,89,Moron,AR,-34.6534,-58.6198,71.02,50,68,8.55,light rain
90,90,Vohibinany,MG,-17.35,49.0333,66.99,89,70,3.94,broken clouds
91,91,Puerto Ayora,EC,-0.7393,-90.3518,65.55,97,99,8.01,overcast clouds
92,92,Georgetown,MY,5.4112,100.3354,82.33,83,20,4.61,few clouds
93,93,Ocampo,MX,21.65,-101.5,54.01,86,100,14.14,overcast clouds
94,94,Jamestown,US,42.097,-79.2353,46.02,67,100,9.22,overcast clouds
95,95,Codrington,AU,-38.2667,141.9667,54.75,54,54,16.69,broken clouds
96,96,Severo-Kurilsk,RU,50.6789,156.125,45.32,59,88,3.65,overcast clouds
97,97,Avarua,CK,-21.2078,-159.775,77.05,78,20,12.66,few clouds
98,98,Black River,JM,18.0264,-77.8487,78.82,79,85,5.95,overcast clouds
99,99,Lavrentiya,RU,65.5833,-171.0,34.81,68,36,4.23,scattered clouds
100,100,Najran,SA,17.4924,44.1277,65.05,21,39,2.75,scattered clouds
101,101,Birin,NP,26.8865,88.0718,66.11,87,69,2.48,broken clouds
102,102,Mackenzie,CA,55.2999,-123.1698,46.62,93,0,2.3,clear sky
103,103,Luchegorsk,RU,46.4764,134.2569,51.12,39,3,4.97,clear sky
104,104,Samarai,PG,-10.6167,150.6667,83.7,72,75,10.18,broken clouds
105,105,Lebu,CL,-37.6167,-73.65,44.87,74,23,13.35,few clouds
106,106,Sunndalsora,NO,62.6754,8.5515,42.82,98,98,4.9,overcast clouds
107,107,Isla Vista,US,34.4133,-119.861,62.96,94,75,0.0,broken clouds
108,108,Hofn,IS,64.2539,-15.2082,40.98,70,100,8.08,overcast clouds
109,109,Hilo,US,19.7297,-155.09,82.27,86,75,11.5,moderate rain
110,110,Bredasdorp,ZA,-34.5322,20.0403,50.63,92,100,3.11,overcast clouds
111,111,Shenjiamen,CN,29.9576,122.298,67.05,62,100,10.38,overcast clouds
112,112,Paso De Los Toros,UY,-32.8167,-56.5167,57.27,61,5,13.38,clear sky
113,113,Bambous Virieux,MU,-20.3428,57.7575,73.22,73,40,12.66,light rain
114,114,Souillac,MU,-20.5167,57.5167,71.98,73,40,12.66,scattered clouds
115,115,Saint-Francois,FR,46.4154,3.9054,56.68,100,100,1.14,overcast clouds
116,116,Labuhan,ID,-6.8844,112.2051,88.03,61,100,1.86,overcast clouds
117,117,Tiksi,RU,71.6872,128.8694,23.7,89,91,15.52,overcast clouds
118,118,Mujiayingzi,CN,42.1167,118.7833,58.41,53,100,16.78,light rain
119,119,Saskylakh,RU,71.9167,114.0833,26.55,95,100,11.68,light snow
120,120,Porangatu,BR,-13.4408,-49.1486,75.4,74,96,4.0,overcast clouds
121,121,San Quintin,MX,30.4833,-115.95,70.45,78,61,3.53,broken clouds
122,122,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,13.8,broken clouds
123,123,Lieksa,FI,63.3167,30.0167,51.66,89,99,21.74,overcast clouds
124,124,Laguna,US,38.421,-121.4238,80.58,44,0,4.61,clear sky
125,125,Oranjemund,,-28.55,16.4333,55.96,91,4,8.1,clear sky
126,126,Axim,GH,4.8699,-2.2405,74.91,89,44,4.9,scattered clouds
127,127,Lasa,IT,46.6166,10.7002,50.88,73,39,2.21,scattered clouds
128,128,Paamiut,GL,61.994,-49.6678,34.3,82,96,16.26,overcast clouds
129,129,Geraldton,AU,-28.7667,114.6,79.21,15,0,8.05,clear sky
130,130,Port Lincoln,AU,-34.7333,135.8667,57.76,55,40,12.73,scattered clouds
131,131,Kaitangata,NZ,-46.2817,169.8464,55.51,55,47,4.83,scattered clouds
132,132,El Fuerte,MX,26.4189,-108.6194,82.4,54,6,1.12,clear sky
133,133,Harper,LR,4.375,-7.7169,76.03,89,81,6.46,broken clouds
134,134,Mount Gambier,AU,-37.8333,140.7667,56.26,45,50,9.28,scattered clouds
135,135,Cherskiy,RU,68.75,161.3,24.24,74,100,22.95,overcast clouds
136,136,Maloy,NO,61.9353,5.1136,47.93,15,100,20.83,overcast clouds
137,137,Chumikan,RU,54.7183,135.315,37.94,35,98,2.84,overcast clouds
138,138,Tangwani,PK,28.2787,68.9972,87.98,29,0,7.49,clear sky
139,139,Bayir,TR,37.2687,28.2167,59.52,82,9,4.09,clear sky
140,140,Caruray,PH,10.3094,119.0128,86.49,69,97,3.71,overcast clouds
141,141,Mpraeso,GH,6.5932,-0.7346,67.77,99,100,1.12,moderate rain
142,142,Bonanza,NI,14.0289,-84.591,70.66,100,100,3.2,overcast clouds
143,143,Kedungwuni,ID,-6.9704,109.6479,86.65,66,100,2.64,overcast clouds
144,144,Nome,US,64.5011,-165.4064,39.27,87,20,13.8,light rain
145,145,Castro,BR,-24.7911,-50.0119,48.38,93,20,1.72,few clouds
