City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
132,Kodiak,US,51.31,mist,57.79,-152.4072,Best Western Kodiak Inn
134,Lompoc,US,57.52,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
138,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
140,Kahului,US,76.96,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
141,Sao Filipe,CV,78.39,scattered clouds,14.8961,-24.4956,Hotel Xaguate
148,Kamina,CD,73.99,clear sky,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
151,Mayumba,GA,75.7,overcast clouds,-3.432,10.6554,LIKWALE LODGE
153,Saint-Denis,FR,53.11,few clouds,48.9167,2.3333,ibis budget Paris Porte de Montmartre
155,Nemuro,JP,53.01,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
157,Shingu,JP,72.14,overcast clouds,33.7333,135.9833,Shingu UI Hotel
158,Biel,CH,60.73,mist,47.1324,7.2441,Hotel Elite
165,Esperance,AU,68.83,overcast clouds,-33.8667,121.9,Hospitality Esperance
167,Tazmalt,DZ,66.36,scattered clouds,36.3868,4.3989,Hôtel Numédia
168,Keffi,NG,70.39,overcast clouds,8.8486,7.8736,Imam Family
169,Faanui,PF,78.31,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
172,Kaitangata,NZ,53.53,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
174,Cabedelo,BR,74.07,clear sky,-6.9811,-34.8339,Pousada Camboinha
175,Ukmerge,LT,51.67,broken clouds,55.25,24.75,BIG STONE Hotel
177,Tongliao,CN,55.35,light rain,43.6125,122.2653,Meirujia Hotel
178,Khasan,RU,56.79,broken clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
180,Barbosa Ferraz,BR,52.7,clear sky,-24.03,-52.0117,Edicula Sanches
184,Nha Trang,VN,75.2,moderate rain,12.25,109.1833,Hanoi Golden Hotel
186,Abu Samrah,SY,70.75,clear sky,35.3029,37.1841,
187,Port Alfred,ZA,65.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
192,Jumla,NP,58.08,overcast clouds,29.2747,82.1838,Royal Garden Hotel
194,Murray Bridge,AU,55.13,broken clouds,-35.1167,139.2667,Balcony On Sixth Lodge
195,Sechura,PE,63.21,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
197,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
198,Porto Novo,BJ,76.82,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
201,Camana,PE,58.68,clear sky,-16.6228,-72.7111,Hostal Morales
203,Vao,NC,72.45,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
205,Lata,PT,61.81,scattered clouds,40.1629,-8.3327,Casa Maquia
206,Gamba,GA,74.91,broken clouds,-2.65,10.0,
209,Santa Marta De Tormes,ES,54.99,broken clouds,40.9506,-5.6272,Hotel Alameda Palace
210,Dalaba,GN,60.31,light rain,10.7,-12.25,Hôtel Tangama
212,Necochea,AR,56.39,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
213,Birjand,IR,68.94,clear sky,32.8663,59.2211,Birjand Tourist Hotel
214,Wunsiedel,DE,52.75,overcast clouds,50.0333,12.0167,SOIBELMANNS Hotel Alexandersbad
218,Meulaboh,ID,79.95,overcast clouds,4.1363,96.1285,Kost Pria
220,Lima,PE,57.9,broken clouds,-12.0432,-77.0282,Hotel Kamana
221,Bac Lieu,VN,75.11,moderate rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
222,Maxixe,MZ,77.59,overcast clouds,-23.8597,35.3472,Oceano
223,Yulara,AU,75.11,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
225,Korla,CN,69.24,clear sky,41.7597,86.1469,Gulisitan Hotel
228,Caravelas,BR,74.28,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
230,Jijiga,ET,70.3,few clouds,9.35,42.8,RAMAAS HOTEL
231,Tabou,CI,75.81,broken clouds,4.423,-7.3528,hotêl doufoulougou
233,Erzin,TR,72.14,light rain,36.9559,36.2,Artemis Otel
234,Zhangjiakou,CN,62.47,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
235,Fort Nelson,CA,50.02,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
236,Russell,US,69.01,broken clouds,32.3502,-85.1999,Macs
238,Jardim,BR,58.77,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
239,Galveston,US,77.05,overcast clouds,29.3669,-94.9669,Crystal Suites
240,Nagai,JP,62.22,scattered clouds,38.1036,140.035,土田旅館
243,Taltal,CL,56.37,scattered clouds,-25.4,-70.4833,Residencial Karime
244,Lecce,IT,67.86,broken clouds,40.2167,18.1667,Hotel Hermitage
245,Tuatapere,NZ,54.72,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
249,Effingham,US,60.89,few clouds,32.3669,-81.3332,Countryside Village
250,Birin,NP,69.19,broken clouds,26.8865,88.0718,Sangam Hospitality
251,Nara,JP,69.49,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
252,Abay,KZ,68.38,overcast clouds,49.6311,72.8539,Guest House on Abaya 144
255,Ipojuca,BR,73.31,clear sky,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
257,Itarema,BR,77.56,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
259,Port Hardy,CA,55.15,few clouds,50.6996,-127.4199,Airport Inn-Port Hardy
260,Pacifica,US,67.93,fog,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
264,Santa Maria,BR,54.57,clear sky,-29.6842,-53.8069,Hotel Morotin
265,Sungaipenuh,ID,75.54,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
266,Codrington,AU,53.49,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
267,Antalaha,MG,74.05,light rain,-14.9003,50.2788,Hotel Vitasoa
268,Gold Coast,AU,77.0,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
270,Antofagasta,CL,58.28,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
271,Xuddur,SO,79.95,broken clouds,4.1213,43.8894,Banjanay Hotel
275,Sukumo,JP,71.33,overcast clouds,32.9333,132.7333,Sukumojo
277,Chuy,UY,54.37,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
278,Maldonado,UY,61.41,broken clouds,-34.6667,-54.9167,La Cimarrona
279,Manggar,ID,76.39,overcast clouds,-2.8833,108.2667,Guest Hotel
280,Fortuna,US,56.35,light rain,40.5982,-124.1573,Super 8 by Wyndham Fortuna
283,Havelock,US,71.94,scattered clouds,34.8791,-76.9013,Sherwood Motel
284,Augusto Correa,BR,75.25,clear sky,-1.0217,-46.635,Fazenda Bacuri
287,Arraial Do Cabo,BR,71.06,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
288,Lyman,UA,54.46,clear sky,48.9884,37.8023,"Вілла ""Філін"""
290,Porto Walter,BR,69.96,moderate rain,-8.2686,-72.7439,Hotel Silva
292,Moron,AR,69.03,broken clouds,-34.6534,-58.6198,Hotel Morón
293,Souillac,MU,73.04,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
294,Shimoda,JP,70.05,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
297,Sao Felix Do Xingu,BR,73.17,few clouds,-6.6447,-51.995,Rio Xingu Camping
300,Mashhad,IR,68.14,clear sky,36.297,59.6062,Khanye Sabz Hotel
301,Pisco,PE,57.22,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
304,Natal,BR,72.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
305,Yambio,SS,70.86,overcast clouds,4.5721,28.3955,Naivasha Hotel
307,Flinders,AU,64.18,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
310,Half Moon Bay,US,66.02,fog,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
311,Pravdinsk,RU,53.85,overcast clouds,54.4429,21.0179,Загородный дом с баней
313,Porto Torres,IT,57.38,broken clouds,40.835,8.3972,Hotel Elisa
314,Bambous Virieux,MU,76.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
315,Chervona Sloboda,UA,52.88,clear sky,49.3789,32.1464,Sportohota
317,Cape Canaveral,US,75.97,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
318,Rengo,CL,51.87,broken clouds,-34.4167,-70.8667,Hostal Cartagena
320,Clarence Town,AU,67.86,light rain,-32.5833,151.7833,River Downs Cottage
322,Nantucket,US,60.15,scattered clouds,41.2835,-70.0995,Jared Coffin House
324,Maceio,BR,72.84,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
326,Namibe,AO,67.41,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
328,Dawlatabad,AF,70.0,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
329,Capitan Bado,PY,55.74,clear sky,-23.2667,-55.5333,Hotel Suiza
330,San Cristobal,VE,64.09,overcast clouds,7.7669,-72.225,Pirineos
331,Venezuela,VE,77.16,scattered clouds,8.0,-66.0,
332,Nouakchott,MR,75.13,scattered clouds,18.0858,-15.9785,HOTEL IMAN
335,Coquimbo,CL,56.55,scattered clouds,-29.9533,-71.3436,Hotel San Juan
337,Llangefni,GB,53.73,scattered clouds,53.2556,-4.3106,Bull Hotel
338,Koutiala,ML,74.39,broken clouds,12.3917,-5.4642,Hotel La Chaumiere
339,Katsuura,JP,69.42,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
340,Lesogorskiy,RU,52.63,overcast clouds,61.0455,28.9294,Lesogorskaya Resort
342,Santa Cruz,BO,65.66,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
345,Jurm,AF,64.8,clear sky,36.8648,70.8342,
346,Singleton,AU,69.93,light rain,-32.5667,151.1833,Quest Singleton
347,Hami,CN,62.83,clear sky,42.8,93.45,Laoyutang Resort
348,Rafai,CF,68.83,moderate rain,4.95,23.9167,
350,Businga,CD,70.81,overcast clouds,3.3333,20.8833,
351,Mogilno,PL,57.0,overcast clouds,52.6581,17.9558,Hotel Mogilno
352,Soyo,AO,76.01,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
353,Zhezkazgan,KZ,62.58,clear sky,47.8043,67.7144,Hotel Zumrat
356,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
357,Coffs Harbour,AU,78.13,overcast clouds,-30.3,153.1333,Aquajet Motel
358,Portland,US,70.25,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
359,Pimentel,PE,61.66,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
361,Mitu,CO,70.2,broken clouds,1.1983,-70.1733,
362,Polis,CY,70.29,clear sky,35.0367,32.4264,Marion
364,Avera,US,65.37,few clouds,33.194,-82.5271,
367,Yatou,CN,64.15,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
368,Cap Malheureux,MU,76.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
369,Acajutla,SV,78.48,broken clouds,13.5928,-89.8275,CASA DE LA PERRA
370,Coahuayana,MX,75.94,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
372,Mpika,ZM,72.05,clear sky,-11.8343,31.4529,Melodies Lodge
373,Presidencia Roque Saenz Pena,AR,60.04,clear sky,-26.7852,-60.4388,Hotel Gualok
374,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
376,Porto Santo,PT,70.18,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
378,Lasa,IT,53.85,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
379,Ahuimanu,US,79.75,broken clouds,21.4447,-157.8378,Paradise Bay Resort
381,San Andres,CO,75.22,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
382,Dekar,BW,79.48,clear sky,-21.5333,21.9333,
383,Mantua,IT,54.64,scattered clouds,45.1667,10.7833,Hotel la Favorita
384,Chifeng,CN,60.49,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
385,Saldanha,ZA,61.02,broken clouds,-33.0117,17.9442,Blue Bay Lodge
386,Areka,ET,65.53,light rain,7.0667,37.7,Selam Hotel ሰላም ሆቴል
387,Aipe,CO,75.67,light rain,3.2222,-75.2367,Dunas Tatacoa
390,Touros,BR,76.35,clear sky,-5.1989,-35.4608,INN NEW HORIZON
391,Piacabucu,BR,75.58,few clouds,-10.4056,-36.4344,Piaçabuçu News
392,Omboue,GA,73.94,overcast clouds,-1.5746,9.2618,Hotel Olako
393,Constitucion,CL,50.56,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
394,Bose,IT,58.28,few clouds,45.4612,8.0137,Locanda Borgo Antico
395,Juan Lacaze,UY,62.11,light rain,-34.4342,-57.4381,El templo de Papal
400,Aconibe,GQ,65.21,overcast clouds,1.2968,10.9369,
401,Tahara,JP,75.94,overcast clouds,34.6667,137.2667,Tahara City Hotel
403,Tacuarembo,UY,52.84,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
405,Cacoal,BR,71.47,moderate rain,-11.4386,-61.4472,Hotel BR 364
406,Mocoa,CO,68.38,overcast clouds,1.1493,-76.6466,Casita Limon Mandarina
